CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
11000,,Jon,V,Yang,,3761 N. 14th St,,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0162,1966-04-08,Bachelors ,Professional,M,M,1,0,0,2,124135
11001,,Eugene,L,Huang,,2243 W St.,,Seaford,Victoria,Australia,3198,1 (11) 500 555-0110,1965-05-14,Bachelors ,Professional,M,S,0,1,3,3,89591
11003,,Christy,,Zhu,,1825 Village Pl.,,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0162,1968-02-15,Bachelors ,Professional,F,S,0,1,0,0,87577
11004,,Elizabeth,,Johnson,,7553 Harness Circle,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0131,1968-08-08,Bachelors ,Professional,F,S,1,4,5,5,106853
11005,,Julio,,Ruiz,,7305 Humphrey Drive,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0151,1965-08-05,Bachelors ,Professional,M,S,1,1,0,0,94028
11006,,Janet,G,Alvarez,,2612 Berry Dr,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,1965-12-06,Bachelors ,Professional,F,S,1,1,0,0,75005
11007,,Marco,,Mehta,,942 Brook Street,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,1964-05-09,Bachelors ,Professional,M,M,1,2,3,3,106841
11008,,Rob,,Verhoff,,624 Peabody Road,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0164,1964-07-07,Bachelors ,Professional,F,S,1,3,4,4,92916
11009,,Shannon,C,Carlson,,3839 Northgate Road,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0110,1964-04-01,Bachelors ,Professional,M,S,0,1,0,0,103500
11010,,Jacquelyn,C,Suarez,,7800 Corrinne Court,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0169,1964-02-06,Bachelors ,Professional,F,S,0,1,0,0,70615
11011,,Curtis,,Lu,,1224 Shoenic,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0117,1963-11-04,Bachelors ,Professional,M,M,1,4,4,4,103632
11012,,Lauren,M,Walker,,4785 Scott Street,,Bremerton,Washington,United States,98312,717-555-0164,1968-01-18,Bachelors ,Management,F,M,1,2,0,2,101752
11013,,Ian,M,Jenkins,,7902 Hudson Ave.,,Lebanon,Oregon,United States,97355,817-555-0185,1968-08-06,Bachelors ,Management,M,M,1,3,0,2,125127
11014,,Sydney,,Bennett,,9011 Tank Drive,,Redmond,Washington,United States,98052,431-555-0156,1968-05-09,Bachelors ,Management,F,S,0,3,0,3,102881
11015,,Chloe,,Young,,244 Willow Pass Road,,Burbank,California,United States,91502,208-555-0142,1979-02-27,Partial College,Skilled Manual,F,S,0,1,0,0,52550
11016,,Wyatt,L,Hill,,9666 Northridge Ct.,,Imperial Beach,California,United States,91932,135-555-0171,1979-04-28,Partial College,Skilled Manual,M,M,1,1,0,0,53393
11017,,Shannon,,Wang,,7330 Saddlehill Lane,,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0195,1944-06-26,High School,Skilled Manual,F,S,1,2,0,4,25210
11018,,Clarence,D,Rai,,244 Rivewview,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0137,1944-10-09,Partial College,Clerical,M,S,1,2,0,2,39935
